compartments,abundance,growth_rate,reactions,metabolites,sample
A,0.5544426387861069,0.03792277402737292,1431,1166,com_0.5544_0.2461_0.1994
B,0.24613799009080675,0.016833970011355417,872,713,com_0.5544_0.2461_0.1994
C,0.19941937112308636,0.013638581323237411,1462,1193,com_0.5544_0.2461_0.1994
medium,,,124,124,com_0.5544_0.2461_0.1994
A,0.5441593953400027,0.037090657793868234,1431,1166,com_0.5442_0.2956_0.1602
B,0.2956329875964529,0.02014927079714226,872,713,com_0.5442_0.2956_0.1602
C,0.16020761706354442,0.010918711274143239,1462,1193,com_0.5442_0.2956_0.1602
medium,,,124,124,com_0.5442_0.2956_0.1602
A,0.5890602749340809,0.036471836635688315,1431,1166,com_0.5891_0.303_0.1079
B,0.30299820688288664,0.01875883808392091,872,713,com_0.5891_0.303_0.1079
C,0.10794151818303249,0.006682093689956603,1462,1193,com_0.5891_0.303_0.1079
medium,,,124,124,com_0.5891_0.303_0.1079
A,0.5924050240111604,0.037429420052504325,1431,1166,com_0.5924_0.2647_0.1429
B,0.26465988120383993,0.01672045054223221,872,713,com_0.5924_0.2647_0.1429
C,0.14293509478499972,0.009029768504120161,1462,1193,com_0.5924_0.2647_0.1429
medium,,,124,124,com_0.5924_0.2647_0.1429
A,0.597051717044515,0.036702225302460374,1431,1166,com_0.5971_0.291_0.1119
B,0.2910330488537634,0.01788915961726156,872,713,com_0.5971_0.291_0.1119
C,0.1119152341017216,0.006878567170164024,1462,1193,com_0.5971_0.291_0.1119
medium,,,124,124,com_0.5971_0.291_0.1119
A,0.5465344326886871,0.03734310533798508,1431,1166,com_0.5465_0.2845_0.169
B,0.28446898964317363,0.019435478777950634,872,713,com_0.5465_0.2845_0.169
C,0.1689965776681393,0.011545771406442508,1462,1193,com_0.5465_0.2845_0.169
medium,,,124,124,com_0.5465_0.2845_0.169
A,0.5954778046922379,0.03744060865361597,1431,1166,com_0.5955_0.2621_0.1424
B,0.26210675321775406,0.01647861681232369,872,713,com_0.5955_0.2621_0.1424
C,0.14241544209000806,0.00895318330548831,1462,1193,com_0.5955_0.2621_0.1424
medium,,,124,124,com_0.5955_0.2621_0.1424
A,0.5598829707000074,0.03801433674158653,1431,1166,com_0.5599_0.235_0.2051
B,0.23501227369097105,0.015955261810421582,872,713,com_0.5599_0.235_0.2051
C,0.20510475560902158,0.013924677700432828,1462,1193,com_0.5599_0.235_0.2051
medium,,,124,124,com_0.5599_0.235_0.2051
A,0.573594058889931,0.036887150494426986,1431,1166,com_0.5736_0.2962_0.1302
B,0.29616430277037636,0.01904456449197411,872,713,com_0.5736_0.2962_0.1302
C,0.13024163833969266,0.008374504749402786,1462,1193,com_0.5736_0.2962_0.1302
medium,,,124,124,com_0.5736_0.2962_0.1302
A,0.5838834293894688,0.037942430783912545,1431,1166,com_0.5839_0.2371_0.179
B,0.23713275845826623,0.01540826235837837,872,713,com_0.5839_0.2371_0.179
C,0.17898381215226497,0.01162965169614906,1462,1193,com_0.5839_0.2371_0.179
medium,,,124,124,com_0.5839_0.2371_0.179
A,0.5435610047067313,0.03785578861856574,1431,1166,com_0.5436_0.2487_0.2078
B,0.24867417455291074,0.017317268473133904,872,713,com_0.5436_0.2487_0.2078
C,0.20776482074035796,0.014468242539278794,1462,1193,com_0.5436_0.2487_0.2078
medium,,,124,124,com_0.5436_0.2487_0.2078
A,0.5950482772471472,0.037751441078019206,1431,1166,com_0.595_0.2445_0.1605
B,0.2444930683467854,0.015509989899769329,872,713,com_0.595_0.2445_0.1605
C,0.16045865440606744,0.010178726504404104,1462,1193,com_0.595_0.2445_0.1605
medium,,,124,124,com_0.595_0.2445_0.1605
A,0.5575248814290769,0.03664824419319926,1431,1166,com_0.5575_0.3094_0.133
B,0.3094394604397837,0.020339171754858387,872,713,com_0.5575_0.3094_0.133
C,0.13303565813113943,0.008743741643993006,1462,1193,com_0.5575_0.3094_0.133
medium,,,124,124,com_0.5575_0.3094_0.133
A,0.5580030420609814,0.03785837792268284,1431,1166,com_0.558_0.2528_0.1892
B,0.25283377208801655,0.01715242545882065,872,713,com_0.558_0.2528_0.1892
