compartments,abundance,growth_rate,reactions,metabolites,sample
medium,,,126,126,com_0.2704_0.3383_0.3914
A,0.30060530712451555,0.008331619574128719,1512,1217,com_0.3006_0.0823_0.6171
B,0.08233114569755076,0.0022811756661098425,872,713,com_0.3006_0.0823_0.6171
C,0.6170635471779337,0.01710531608222966,1462,1193,com_0.3006_0.0823_0.6171
medium,,,126,126,com_0.3006_0.0823_0.6171
A,0.6256674408814369,0.018069821671067854,1512,1217,com_0.6257_0.2093_0.1651
B,0.20925948810187917,0.005519092757575688,872,713,com_0.6257_0.2093_0.1651
C,0.16507307101668395,0.004766290904249208,1462,1193,com_0.6257_0.2093_0.1651
medium,,,126,126,com_0.6257_0.2093_0.1651
A,0.0678721017846277,0.004200059747121506,1512,1217,com_0.0679_0.4955_0.4366
B,0.4955310232039269,0.002347400519169167,872,713,com_0.0679_0.4955_0.4366
C,0.4365968750114454,0.027025230586243534,1462,1193,com_0.0679_0.4955_0.4366
medium,,,126,126,com_0.0679_0.4955_0.4366
A,0.25319831592945535,0.012387974423244904,1512,1217,com_0.2532_0.3192_0.4276
B,0.31919348450063134,0.0036449096136852896,872,713,com_0.2532_0.3192_0.4276
C,0.42760819956991336,0.020924206390868852,1462,1193,com_0.2532_0.3192_0.4276
medium,,,126,126,com_0.2532_0.3192_0.4276
A,0.48124757756538944,0.01521984172968758,1512,1217,com_0.4812_0.097_0.4217
B,0.09704860056587503,0.0030684417148427717,872,713,com_0.4812_0.097_0.4217
C,0.4217038218687356,0.013339001580707487,1462,1193,com_0.4812_0.097_0.4217
medium,,,126,126,com_0.4812_0.097_0.4217
A,0.5509020823975825,0.016728267028633535,1512,1217,com_0.5509_0.0982_0.3509
B,0.09815098865702591,0.002979227569555685,872,713,com_0.5509_0.0982_0.3509
C,0.35094692894539153,0.010655048679431869,1462,1193,com_0.5509_0.0982_0.3509
medium,,,126,126,com_0.5509_0.0982_0.3509
A,0.4571263599953674,0.015131549191466117,1512,1217,com_0.4571_0.1234_0.4195
B,0.12335083241110455,0.004082362287620193,872,713,com_0.4571_0.1234_0.4195
C,0.41952280759352795,0.013889149742827872,1462,1193,com_0.4571_0.1234_0.4195
medium,,,126,126,com_0.4571_0.1234_0.4195
A,0.3401325510115208,0.021841095154141118,1512,1217,com_0.3401_0.3906_0.2693
B,0.39059702329794616,0.0029783453865771677,872,713,com_0.3401_0.3906_0.2693
C,0.2692704256905331,0.017288224721278205,1462,1193,com_0.3401_0.3906_0.2693
medium,,,126,126,com_0.3401_0.3906_0.2693
A,0.11746073518107276,0.0102215410919125,1512,1217,com_0.1175_0.5289_0.3536
B,0.5289173744384186,0.002199254044987107,872,713,com_0.1175_0.5289_0.3536
C,0.3536218903805087,0.030777377684212376,1462,1193,com_0.1175_0.5289_0.3536
medium,,,126,126,com_0.1175_0.5289_0.3536
A,0.42153402093614156,0.022371724709979616,1512,1217,com_0.4215_0.3548_0.2236
B,0.3548438788260965,0.00327857792279225,872,713,com_0.4215_0.3548_0.2236
C,0.22362210023776186,0.0118663651843225,1462,1193,com_0.4215_0.3548_0.2236
medium,,,126,126,com_0.4215_0.3548_0.2236
A,0.5377554110787346,0.022426608489249284,1512,1217,com_0.5378_0.4403_0.022
B,0.44028668151585815,0.002641590988002545,872,713,com_0.5378_0.4403_0.022
C,0.021957907405407262,0.0009548665662218123,1462,1193,com_0.5378_0.4403_0.022
medium,,,126,126,com_0.5378_0.4403_0.022
A,0.1444375141014501,0.008238569587445047,1512,1217,com_0.1444_0.4186_0.437
B,0.41856966939992707,0.00277906107843497,872,713,com_0.1444_0.4186_0.437
C,0.43699281649862287,0.0249299720385285,1462,1193,com_0.1444_0.4186_0.437
medium,,,126,126,com_0.1444_0.4186_0.437
A,0.09206096820634016,0.0038248921764050653,1512,1217,com_0.0921_0.3766_0.5313
B,0.37663045245395316,0.003088904726630211,872,713,com_0.0921_0.3766_0.5313
C,0.5313085793397067,0.022081158630953727,1462,1193,com_0.0921_0.3766_0.5313
medium,,,126,126,com_0.0921_0.3766_0.5313
A,0.5715263203815613,0.01769544774509796,1512,1217,com_0.5715_0.1455_0.283
B,0.14551667512823327,0.004504252272566167,872,713,com_0.5715_0.1455_0.283
C,0.28295700449020544,0.008759457772599602,1462,1193,com_0.5715_0.1455_0.283
medium,,,126,126,com_0.5715_0.1455_0.283
A,0.2901859829528967,0.01785789836499049,1512,1217,com_0.2902_0.3749_0.3349
B,0.374948482467471,0.003103105612315402,872,713,com_0.2902_0.3749_0.3349
C,0.3348655345796324,0.020610635136986463,1462,1193,com_0.2902_0.3749_0.3349
medium,,,126,126,com_0.2902_0.3749_0.3349
A,0.4433729125076164,0.02417338521520799,1512,1217,com_0.4434_0.3983_0.1583
B,0.3983155855090971,0.002920714698745802,872,713,com_0.4434_0.3983_0.1583
C,0.1583115019832865,0.008629931960868835,1462,1193,com_0.4434_0.3983_0.1583
medium,,,126,126,com_0.4434_0.3983_0.1583
A,0.2604249215660696,0.010998968914840094,1512,1217,com_0.2604_0.2724_0.4672
B,0.2723909892786974,0.004271180137801888,872,713,com_0.2604_0.2724_0.4672
C,0.46718408915523296,0.01973434348068687,1462,1193,com_0.2604_0.2724_0.4672
medium,,,126,126,com_0.2604_0.2724_0.4672
A,0.7854646056573065,0.0159998828319603,1512,1217,com_0.7855_0.1754_0.0392
B,0.17537796919723492,0.003566100719315912,872,713,com_0.7855_0.1754_0.0392
C,0.03915742514545866,0.0013823477149868496,1462,1193,com_0.7855_0.1754_0.0392
medium,,,126,126,com_0.7855_0.1754_0.0392
A,0.4561246115297521,0.025949886160639056,1512,1217,com_0.4561_0.4779_0.066
B,0.47792438446543917,0.0024347984908730546,872,713,com_0.4561_0.4779_0.066
C,0.06595100400480879,0.0037509143891907492,1462,1193,com_0.4561_0.4779_0.066
medium,,,126,126,com_0.4561_0.4779_0.066
A,0.5180281884513124,0.018783346987372246,1512,1217,com_0.518_0.2272_0.2548
