,EX_arg_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_gal_m,EX_h_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_nh4_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m,EX_h2o_m
com_0.0521_0.3721_0.5758,0.009518527512939048,0.004555677592102822,-0.2261218569052641,0.0012338900651478468,0.111,,-0.013220723202680418,0.048596295045297534,0.007579636895015248,0.000617726629638742,0.014453981794263271,0.015687845364585368,0.004054236708870897,-0.01067149800902183,0.12362789559551347,0.00687460984741253,0.03289657263889655,0.0082846639426016,0.00035254001861443517,0.004230427233730703,0.009342336988079241,-0.20456584256879307
com_0.0661_0.4274_0.5065,0.00951852751293567,0.004555677592102959,-0.021556014336557183,0.0012338900651478468,0.111,-0.20456584256861865,-0.21778656577125832,0.04859629504514387,0.007579636895009599,0.0006177266296480536,0.014453981794263927,0.0156878453645928,0.0040542367088731894,-0.010671498008859933,0.12362789559536222,0.006874609847407755,0.03289657263878571,0.008284663942604246,0.0003525400186107618,0.004230427233731056,0.009342336988077805,
com_0.0929_0.3934_0.5137,0.009518527512931226,0.004555677592102947,-0.22612185690478892,0.0012338900651460705,0.111,,-0.013220723202710172,0.04859629504471078,0.007579636895000524,0.0006177266296383765,0.014453981794263443,0.015687845364581385,0.004054236708871514,-0.010671498008523041,0.12362789559493728,0.0068746098474100755,0.03289657263837196,0.008284663942598273,0.0003525400186121709,0.00423042723373406,0.00934233698807598,-0.20456584256842192
com_0.0922_0.3936_0.5142,0.009518527512945399,0.004555677592104484,-0.22612185690475162,0.0012338900651442941,0.111,,-0.01322072320374712,0.048596295045423774,0.007579636895011142,0.0006177266296397943,0.014453981794268073,0.015687845364610386,0.004054236708872902,-0.010671498009580511,0.12362789559556202,0.006874609847418652,0.0328965726389232,0.00828466394261094,0.0003525400186167469,0.004230427233730731,0.009342336988080263,-0.20456584256729293
com_0.5982_0.2657_0.1361,0.009518527512937532,0.004555677592105872,-0.2261218569049821,0.001233890065143739,0.111,,-0.013220723202886031,0.048596295045158326,0.007579636895009606,0.0006177266296398956,0.014453981794262716,0.015687845364598524,0.004054236708872652,-0.010671498008867887,0.12362789559537618,0.006874609847413492,0.03289657263871523,0.00828466394260572,0.00035254001861388884,0.004230427233733068,0.00934233698807905,-0.20456584256860744
com_0.5432_0.3125_0.1443,0.009518527512940076,0.00455567759210593,-0.02155601433695864,0.0012338900651480342,0.111,-0.2045658425675152,-0.21778656577136535,0.048596295045564154,0.007579636895013168,0.0006177266296395296,0.014453981794269287,0.015687845364602316,0.004054236708873937,-0.010671498009210642,0.12362789559574948,0.0068746098474170665,0.032896572638785065,0.008284663942607217,0.00035254001861474314,0.004230427233733281,0.009342336988080732,
com_0.5898_0.2342_0.176,0.009518527512935346,0.004555677592104913,-0.02155601433646326,0.001233890065151284,0.111,-0.2045658425680681,-0.21778656577149946,0.04859629504527884,0.007579636895007138,0.0006177266296407712,0.01445398179426055,0.015687845364594697,0.004054236708871835,-0.010671498009112414,0.12362789559548465,0.006874609847413801,0.03289657263875187,0.008284663942602976,0.00035254001861328017,0.004230427233731141,0.00934233698807854,
com_0.5544_0.2461_0.1994,0.009518527512937436,0.004555677592104661,-0.22612185690547792,0.001233890065123367,0.111,,-0.013220723202342022,0.04859629504510635,0.007579636895010194,0.0006177266296396139,0.01445398179426531,0.015687845364597677,0.004054236708872957,-0.010671498008882226,0.12362789559528817,0.006874609847414433,0.032896572638610976,0.008284663942605956,0.0003525400186134403,0.004230427233732998,0.00934233698808023,-0.20456584256889138
com_0.5442_0.2956_0.1602,0.009518527512939839,0.004555677592105282,-0.021556014337360763,0.0012338900651499562,0.111,-0.20456584256726984,-0.2177865657708411,0.048596295045302336,0.007579636895011385,0.0006177266296384053,0.014453981794271407,0.015687845364604297,0.004054236708875496,-0.010671498009347104,0.1236278955954198,0.006874609847415823,0.03289657263882113,0.008284663942609224,0.0003525400186126783,0.004230427233733729,0.009342336988081606,
com_0.5891_0.303_0.1079,0.009518527512930712,0.004555677592101224,-0.02155601433585247,0.0012338900651480689,0.111,-0.2045658425692456,-0.21778656577179012,0.04859629504501075,0.007579636895004995,0.0006177266296395463,0.014453981794255688,0.015687845364587314,0.004054236708869732,-0.01067149800852667,0.12362789559530718,0.006874609847409371,0.032896572638734314,0.008284663942599085,0.00035254001861137875,0.004230427233729352,0.009342336988071092,
